# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
faan fui 	反悔	c=2 d=0.00226229 t=1656
faan ji ci 	反義詞	c=1 d=0.831104 t=1656
faan mut 	飯沒	c=1 d=0.264477 t=1656
faan syu 	番薯	c=0 d=0.1 t=1654
faan syu bing 	番薯兵	c=1 d=1 t=1655
faan tai 	繁體	c=1 d=0.00612731 t=1656
faan tai zi 	繁體字	c=3 d=0.0193176 t=1656
faat 	發	c=1 d=0.00887071 t=1656
faat 	髮	c=1 d=0.0037164 t=1656
faat jam 	發音	c=2 d=0.0179651 t=1656
faat jyu 	法語	c=1 d=0.018968 t=1656
faat sang 	發生	c=1 d=0.00117088 t=1656
fai lik 	費力	c=1 d=0.499074 t=1656
fan coeng 	墳場	c=1 d=0.00219846 t=1656
fan dau 	奮鬥	c=1 d=0.941765 t=1656
fan hoeng 	分享	c=2 d=0.687984 t=1656
fat 	窟	c=2 d=0.00239974 t=1656
fau can 	浮塵	c=1 d=0.00113627 t=1656
fau kwaa 	浮誇	c=1 d=0.00582847 t=1656
fei 	霏	c=1 d=0.283654 t=1656
fei 	非	c=1 d=0.00225411 t=1656
fo 	課	c=1 d=0.116484 t=1656
fo bai 	貨幣	c=1 d=1 t=1611
fo faa 	火花	c=1 d=0.00232276 t=1656
fong 	慌	c=1 d=0.186374 t=1656
fong 	房	c=1 d=0.111917 t=1656
fong 	方	c=2 d=0.375476 t=1656
fong daai 	放大	c=0 d=0.0364219 t=1656
fong daai tung 	放大同	c=1 d=0.366045 t=1656
fong faat 	方法	c=1 d=0.00763509 t=1656
fong min 	方面	c=1 d=0.00843808 t=1656
fong on 	方案	c=1 d=0.000578542 t=1656
fong wui 	放回	c=1 d=0.694197 t=1656
fu 	撫	c=1 d=0.00367942 t=1656
fu 	苦	c=1 d=0.0271874 t=1656
fu 	虎	c=1 d=0.257947 t=1656
fu haam 	呼喊	c=1 d=0.70822 t=1656
fu ji doi 	富二代	c=1 d=0.0593087 t=1656
fu mou 	父母	c=1 d=0.0169922 t=1656
fu sam 	苦心	c=1 d=0.00197932 t=1656
fu si saan 	富士山	c=3 d=0.014411 t=1656
fu si saan haa 	富士山下	c=1 d=0.0816756 t=1656
fui fuk 	恢復	c=1 d=0.697676 t=1656
fui saap 	晦澀	c=1 d=0.0146986 t=1656
fung leoi 	風褸	c=1 d=0.00532682 t=1656
gaa 	嫁	c=2 d=0.121721 t=1656
gaa cit 	假設	c=2 d=0.41772 t=1656
gaa ding 	假定	c=1 d=0.0124007 t=1656
gaa faai 	加快	c=1 d=0.0220377 t=1656
gaa jau 	加油	c=1 d=0.120032 t=1656
gaai 	皆	c=1 d=0.0173355 t=1656
gaai 	解	c=1 d=0.00551656 t=1656
gaai kyut 	解決	c=2 d=0.772891 t=1656
gaai zi 	戒指	c=1 d=0.000784864 t=1656
gaai zyut 	解絕	c=1 d=0.00752142 t=1656
